Category,Factor,breakout_v1_ACTIVE,Canonical_breakout,Strict_breakout,pullback_v1_ACTIVE,Shallow_pullback,Fib_pullback,trend_v1_ACTIVE,Template_trend,consolidation_v1_ACTIVE,Strict_consolidation,Source_File_Refs
Step 3 — Universal Pre-Gates — Apply to all setup types/configs before routing to Step 4,,,,,,,,,,,,
Step 3 — Universal Pre-Gates,Merger-pending block,"Block if listed, default empty [CFG]","Block if listed, default empty [CFG]","Block if listed, default empty [CFG]","Block if listed, default empty [CFG]","Block if listed, default empty [CFG]","Block if listed, default empty [CFG]","Block if listed, default empty [CFG]","Block if listed, default empty [CFG]","Block if listed, default empty [CFG]","Block if listed, default empty [CFG]","universe.merger_watch_list · step3_universal_eligibility.py:219,264"
Step 3 — Universal Pre-Gates,Price row exists (not both NULL),Hard fail if missing [HC],Hard fail if missing [HC],Hard fail if missing [HC],Hard fail if missing [HC],Hard fail if missing [HC],Hard fail if missing [HC],Hard fail if missing [HC],Hard fail if missing [HC],Hard fail if missing [HC],Hard fail if missing [HC],step3_universal_eligibility.py:269-276
Step 3 — Universal Pre-Gates,feature_ready == TRUE,Hard gate [HC],Hard gate [HC],Hard gate [HC],Hard gate [HC],Hard gate [HC],Hard gate [HC],Hard gate [HC],Hard gate [HC],Hard gate [HC],Hard gate [HC],step3_universal_eligibility.py:278-279
Step 3 — Universal Pre-Gates,Allowed symbol_type,default [“stock”] [CFG],default [“stock”] [CFG],default [“stock”] [CFG],default [“stock”] [CFG],default [“stock”] [CFG],default [“stock”] [CFG],default [“stock”] [CFG],default [“stock”] [CFG],default [“stock”] [CFG],default [“stock”] [CFG],universe.allowed_symbol_types · default_configs.py:29
Step 3 — Universal Pre-Gates,Min price floor,default $5 [CFG],default $5 [CFG],default $5 [CFG],default $5 [CFG],default $5 [CFG],default $5 [CFG],default $5 [CFG],default $5 [CFG],default $5 [CFG],default $5 [CFG],universe.min_price · default_configs.py:27
Step 3 — Universal Pre-Gates,Min avg dollar volume (20d liquidity floor),"default $10,000,000 [CFG]","default $10,000,000 [CFG]","default $10,000,000 [CFG]","default $10,000,000 [CFG]","default $10,000,000 [CFG]","default $10,000,000 [CFG]","default $10,000,000 [CFG]","default $10,000,000 [CFG]","default $10,000,000 [CFG]","default $10,000,000 [CFG]",universe.min_avg_dollar_volume_20d · default_configs.py:28
Step 3 — Universal Pre-Gates,data_quality_status == 'ok',Hard gate [HC],Hard gate [HC],Hard gate [HC],Hard gate [HC],Hard gate [HC],Hard gate [HC],Hard gate [HC],Hard gate [HC],Hard gate [HC],Hard gate [HC],step3_universal_eligibility.py:292-294
Step 3 — Universal Pre-Gates,OHLCV anomaly check,Hard gate [HC],Hard gate [HC],Hard gate [HC],Hard gate [HC],Hard gate [HC],Hard gate [HC],Hard gate [HC],Hard gate [HC],Hard gate [HC],Hard gate [HC],"high<low, close<=0, open<=0, volume<0 · step3_universal_eligibility.py:296-311"
Step 3 — Universal Pre-Gates,"eligibility_score (diagnostic, never gates)",0.5/0.3/0.2 weights [HC],0.5/0.3/0.2 weights [HC],0.5/0.3/0.2 weights [HC],0.5/0.3/0.2 weights [HC],0.5/0.3/0.2 weights [HC],0.5/0.3/0.2 weights [HC],0.5/0.3/0.2 weights [HC],0.5/0.3/0.2 weights [HC],0.5/0.3/0.2 weights [HC],0.5/0.3/0.2 weights [HC],step3_universal_eligibility.py:319-338
